index;activityName;geography;product;unitName
20080;treatment of bottom ash, MSWI-WWT, WW from LCD backlight production, slag compartment;GLO;bottom ash, MSWI-WWT, WW from LCD backlight production;kg
20081;treatment of bottom ash, MSWI-WWT, WW from LCD production, slag compartment;GLO;bottom ash, MSWI-WWT, WW from LCD production;kg
20082;treatment of bottom ash, MSWI-WWT, WW from PV cell production, slag compartment;GLO;bottom ash, MSWI-WWT, WW from PV cell production;kg
20083;treatment of bottom ash, MSWI-WWT, WW from ammonium paratungstate production, slag compartment;CN;bottom ash, MSWI-WWT, WW from ammonium paratungstate production;kg
20084;treatment of bottom ash, MSWI-WWT, WW from ammonium paratungstate production, slag compartment;RoW;bottom ash, MSWI-WWT, WW from ammonium paratungstate production;kg
20085;treatment of bottom ash, MSWI-WWT, WW from black chrome coating, slag compartment;GLO;bottom ash, MSWI-WWT, WW from black chrome coating;kg
20086;treatment of bottom ash, MSWI-WWT, WW from ceramic production, slag compartment;GLO;bottom ash, MSWI-WWT, WW from ceramic production;kg
20087;treatment of bottom ash, MSWI-WWT, WW from concrete production, slag compartment;GLO;bottom ash, MSWI-WWT, WW from concrete production;kg
20088;treatment of bottom ash, MSWI-WWT, WW from glass production, slag compartment;GLO;bottom ash, MSWI-WWT, WW from glass production;kg
20089;treatment of bottom ash, MSWI-WWT, WW from grass refinery, slag compartment;GLO;bottom ash, MSWI-WWT, WW from grass refinery;kg
20090;treatment of bottom ash, MSWI-WWT, WW from hard fibreboard production, slag compartment;RoW;bottom ash, MSWI-WWT, WW from hard fibreboard production;kg
20091;treatment of bottom ash, MSWI-WWT, WW from hard fibreboard production, slag compartment;RER;bottom ash, MSWI-WWT, WW from hard fibreboard production;kg
20092;treatment of bottom ash, MSWI-WWT, WW from liquid crystal production, slag compartment;GLO;bottom ash, MSWI-WWT, WW from liquid crystal production;kg
20093;treatment of bottom ash, MSWI-WWT, WW from maize starch production, slag compartment;GLO;bottom ash, MSWI-WWT, WW from maize starch production;kg
20094;treatment of bottom ash, MSWI-WWT, WW from medium density board production, slag compartment;RoW;bottom ash, MSWI-WWT, WW from medium density board production;kg
20095;treatment of bottom ash, MSWI-WWT, WW from medium density board production, slag compartment;RER;bottom ash, MSWI-WWT, WW from medium density board production;kg
20096;treatment of bottom ash, MSWI-WWT, WW from particle board production, slag compartment;RoW;bottom ash, MSWI-WWT, WW from particle board production;kg
20097;treatment of bottom ash, MSWI-WWT, WW from particle board production, slag compartment;RER;bottom ash, MSWI-WWT, WW from particle board production;kg
20098;treatment of bottom ash, MSWI-WWT, WW from pig iron production, slag compartment;Europe without Switzerland;bottom ash, MSWI-WWT, WW from pig iron production;kg
20099;treatment of bottom ash, MSWI-WWT, WW from pig iron production, slag compartment;RoW;bottom ash, MSWI-WWT, WW from pig iron production;kg
20100;treatment of bottom ash, MSWI-WWT, WW from plywood production, slag compartment;GLO;bottom ash, MSWI-WWT, WW from plywood production;kg
20101;treatment of bottom ash, MSWI-WWT, WW from potato starch production, slag compartment;GLO;bottom ash, MSWI-WWT, WW from potato starch production;kg
20102;treatment of bottom ash, MSWI-WWT, WW from soft fibreboard production, slag compartment;GLO;bottom ash, MSWI-WWT, WW from soft fibreboard production;kg
20103;treatment of bottom ash, MSWI-WWT, WW from tube collector production, slag compartment;GLO;bottom ash, MSWI-WWT, WW from tube collector production;kg
20104;treatment of bottom ash, MSWI-WWT, WW from vegetable oil refinery, slag compartment;GLO;bottom ash, MSWI-WWT, WW from vegetable oil refinery;kg
20105;treatment of bottom ash, MSWI-WWT, WW from wafer fabrication, slag compartment;GLO;bottom ash, MSWI-WWT, WW from wafer fabrication;kg
20106;treatment of bottom ash, MSWI-WWT, WW, average, slag compartment;Europe without Switzerland;bottom ash, MSWI-WWT, WW, average;kg
20107;treatment of bottom ash, MSWI-WWT, WW, average, slag compartment;RoW;bottom ash, MSWI-WWT, WW, average;kg
20108;treatment of bottom ash, MSWI-WWT, condensate from light oil boiler, slag compartment;GLO;bottom ash, MSWI-WWT, condensate from light oil boiler;kg
20109;treatment of bottom ash, MSWI-WWT, heat carrier liquid, 40% C3H8O2, slag compartment;GLO;bottom ash, MSWI-WWT, heat carrier liquid, 40% C3H8O2;kg
20110;treatment of bottom ash, MSWI-WWT, rainwater mineral oil storage, slag compartment;Europe without Switzerland;bottom ash, MSWI-WWT, rainwater mineral oil storage;kg
20111;treatment of bottom ash, MSWI-WWT, rainwater mineral oil storage, slag compartment;RoW;bottom ash, MSWI-WWT, rainwater mineral oil storage;kg
20112;treatment of bottom ash, MSWI-WWT-SLF, hard coal ash, slag compartment;GLO;bottom ash, MSWI-WWT-SLF, hard coal ash;kg
20113;treatment of bottom ash, MSWI-WWT-SLF, inert waste, slag compartment;RoW;bottom ash, MSWI-WWT-SLF, inert waste;kg
20114;treatment of bottom ash, MSWI-WWT-SLF, inert waste, slag compartment;RER;bottom ash, MSWI-WWT-SLF, inert waste;kg
20115;treatment of bottom ash, MSWI-WWT-SLF, lignite ash, slag compartment;GLO;bottom ash, MSWI-WWT-SLF, lignite ash;kg
20116;treatment of bottom ash, MSWI-WWT-SLF, municipal solid waste, slag compartment;GLO;bottom ash, MSWI-WWT-SLF, municipal solid waste;kg
20117;treatment of bottom ash, MSWI-WWT-SLF, refinery sludge, slag compartment;Europe without Switzerland;bottom ash, MSWI-WWT-SLF, refinery sludge;kg
20118;treatment of bottom ash, MSWI-WWT-SLF, refinery sludge, slag compartment;RoW;bottom ash, MSWI-WWT-SLF, refinery sludge;kg
20119;treatment of bottom ash, MSWI-WWT-SLF, residue from cooling tower, slag compartment;GLO;bottom ash, MSWI-WWT-SLF, residue from cooling tower;kg
20120;treatment of bottom ash, MSWI-WWT-SLF, scrap tin sheet, slag compartment;GLO;bottom ash, MSWI-WWT-SLF, scrap tin sheet;kg
20121;treatment of bottom ash, MSWI-WWT-SLF, sludge from pulp and paper production, slag compartment;Europe without Switzerland;bottom ash, MSWI-WWT-SLF, sludge from pulp and paper production;kg
20122;treatment of bottom ash, MSWI-WWT-SLF, sludge from pulp and paper production, slag compartment;RoW;bottom ash, MSWI-WWT-SLF, sludge from pulp and paper production;kg
20123;treatment of bottom ash, MSWI-WWT-SLF, waste aluminium, slag compartment;GLO;bottom ash, MSWI-WWT-SLF, waste aluminium;kg
