comp1;comp2;Substance;Matched Substance;Color;Supplyrisk;Geography;ecoinvent_UUID;cas_number;Unit
Raw;in ground;Lithium;Lithium;#A9CBA7;13.06990884041332;AT;7d2c1cdd-a64a-5936-a577-5b82db0c0d1b;7439-93-2;kg Cu eq/kg
Raw;in ground;Magnesite;Magnesite;#c5b0d5;0.0003717954781820664;AT;a4bab069-74a9-5b4c-8d6e-5ca984cd9ecd;546-93-0;kg Cu eq/kg
Raw;in ground;Magnesium;Magnesite;#9467bd;0.0003717954781820664;AT;9e5823ad-9d9b-4b98-b627-e39611b6a8bd;546-93-0;kg Cu eq/kg
Raw;in ground;Manganese;Manganese;#7f7f7f;0.1808705737815285;AT;c2586875-bb56-4b1e-84c5-5ff255a1108b;7439-96-5;kg Cu eq/kg
Raw;in ground;Mercury;Mercury;#8c564b;6.567443147155462;AT;54b9cbd0-65df-4fd3-8a19-dd3b8eccc619;7439-97-6;kg Cu eq/kg
Raw;in ground;Molybdenum;Molybdenum;#c49c94;8.91386395329031;AT;e5a3dff5-72dc-5287-893c-597dd4a19566;7439-98-7;kg Cu eq/kg
Raw;in ground;Gas, natural;Natural gas;#FFE680;0.1525809859125596;AT;7c337428-fb1b-45c7-bbb2-2ee4d29e17ba;8006-14-2;kg Cu eq/kg
Raw;in ground;Nickel;Nickel;#c49c94;8.749830004529622;AT;974213ef-1ba0-40e5-bc7b-52ef099e9e09;7440-02-0;kg Cu eq/kg
Raw;in ground;Niobium;Niobium;#bcbd22;28.28785672126629;AT;8de8befc-efa2-5d07-a58b-b29ea97a3f41;7440-03-1;kg Cu eq/kg
Raw;in ground;Palladium;Palladium;#f7b6d2;8681.43032268557;AT;edc69c63-a776-4dbf-acbf-e0368914980a;7440-05-3;kg Cu eq/kg
Raw;in ground;Oil, crude;Crude oil;#FFB570;0.09739331472323541;AT;88d06db9-59a1-4719-9174-afeb1fa4026a;;kg Cu eq/kg
Raw;in ground;Phosphorus;Phosphate;#c7c7c7;0.09928517560533709;AT;483ae3c5-4eb0-46e4-b811-a72ad391716b;;kg Cu eq/kg
Raw;in ground;Platinum;Platinum;#bcbd22;196.7774707369257;AT;d13b2665-505d-49e2-8edd-dc966b0342af;7440-06-4;kg Cu eq/kg
Raw;in ground;Cerium;Rare earth;#1f77b4;5.509290978352864;AT;4057f8b4-f20a-59c9-9bb7-fdeaf5ad106d;;kg Cu eq/kg
Raw;in ground;Dysprosium;Rare earth;#98df8a;5.509290978352864;AT;9e28eac3-49f9-5a0d-a8d0-dc4e071ad9e6;7429-91-6;kg Cu eq/kg
Raw;in ground;Erbium;Rare earth;#cccccc;5.509290978352864;AT;110a04f0-af53-5499-b22e-79b1b91e5a66;7440-52-0;kg Cu eq/kg
Raw;in ground;Europium;Rare earth;#d62728;5.509290978352864;AT;3d73ec21-de4d-5b68-b504-4ef59e15bd0e;7440-53-1;kg Cu eq/kg
Raw;in ground;Gadolinium;Rare earth;#9467bd;5.509290978352864;AT;f55e2203-ef91-50bf-8f5a-119bb210522c;7440-54-2;kg Cu eq/kg
Raw;in ground;Holmium;Rare earth;#cccccc;5.509290978352864;AT;f2f53dc8-8e09-511f-8dd2-4bae3625ba27;7440-60-0;kg Cu eq/kg
Raw;in ground;Lanthanum;Rare earth;#7f7f7f;5.509290978352864;AT;176598c1-699c-5dd8-8c33-d269ff7f5edd;;kg Cu eq/kg
Raw;in ground;Lutetium;Rare earth;#cccccc;5.509290978352864;AT;d9a2f8e5-f04a-5ffa-8c75-8133ac7f525c;7439-94-3;kg Cu eq/kg
Raw;in ground;Neodymium;Rare earth;#c7c7c7;5.509290978352864;AT;db0c855c-e9ef-58d9-97cc-960e646fc882;;kg Cu eq/kg
Raw;in ground;Praseodymium;Rare earth;#17becf;5.509290978352864;AT;35da65ff-7287-571d-b859-13d398ac5182;7440-10-0;kg Cu eq/kg
Raw;in ground;Samarium;Rare earth;#aec7e8;5.509290978352864;AT;cf791833-26bc-5207-a9bd-6ddcd8ac7625;7440-19-9;kg Cu eq/kg
Raw;in ground;Scandium;Rare earth;#ffbb78;5.509290978352864;AT;7f9f9b59-35a0-584d-ad5e-07da01dde768;;kg Cu eq/kg
Raw;in ground;Terbium;Rare earth;#e377c2;5.509290978352864;AT;6ec6a8a8-4c94-5bc5-93c5-62928fcf3935;7440-27-9;kg Cu eq/kg
Raw;in ground;Thulium;Rare earth;#cccccc;5.509290978352864;AT;a34e010c-6f68-5c79-8b45-2955b91f7dc2;7440-30-4;kg Cu eq/kg
Raw;in ground;Ytterbium;Rare earth;#cccccc;5.509290978352864;AT;ea659cca-fe3d-5b03-90d2-60719a862874;7440-64-4;kg Cu eq/kg
Raw;in ground;Yttrium;Rare earth;#c7c7c7;5.509290978352864;AT;89b567f2-2cab-503e-b796-42cba72fce16;7440-65-5;kg Cu eq/kg
Raw;in ground;Rhodium;Rhodium;#9edae5;245236.5979327465;AT;4803f22f-6950-489b-914d-fa953a8081f6;7440-16-6;kg Cu eq/kg
Raw;in ground;Selenium;Selenium;#2ca02c;2.235006975292939;AT;5f47f918-1c32-5870-b992-db91f843ff34;7782-49-2;kg Cu eq/kg
Raw;in ground;Silver;Silver;#1f77b4;1.057601775792008;AT;361a64cb-ab76-4a72-9ea1-c07d6a20c124;7440-22-4;kg Cu eq/kg
Raw;in ground;Coal, hard;Steam Coal;#4D4D4D;0.1276241479424762;AT;b6d0042d-0ef8-49ed-9162-a07ff1ccf750;;kg Cu eq/kg
Raw;in ground;Sulfur;Sulfur;#2ca02c;0.01625708625383378;AT;852281f6-db73-4250-84d3-86b569fce0c1;7704-34-9;kg Cu eq/kg
Raw;in ground;Tantalum;Tantalum;#98df8a;59.7465796638232;AT;775fdf03-b0bb-5c25-b14d-107231d5b2f0;7440-25-7;kg Cu eq/kg
Raw;in ground;Tellurium;Tellurium;#c49c94;104.0545530501518;AT;7b6da1f2-e191-5a77-ae06-af96201f5803;13494-80-9;kg Cu eq/kg
Raw;in ground;Tin;Tin;#d62728;0.0;AT;53d5ef26-66d8-4536-afa2-2f6b114189ba;7440-31-5;kg Cu eq/kg
Raw;in ground;Titanium;Titanium;#ff7f0e;0.396555755718295;AT;2f033407-6060-4e1e-868c-9f362d10fdb2;7440-32-6;kg Cu eq/kg
Raw;in ground;Tungsten;Tungsten;#ff9896;12.00816331705157;AT;ebcc1f0c-6b19-501d-86a4-629df2a457b5;7440-33-7;kg Cu eq/kg
Raw;in ground;Uranium;Uranium;#9467bd;9.616852546560914;AT;2ba5e39b-adb6-4767-a51d-90c1cf32fe98;7440-61-1;kg Cu eq/kg
Raw;in ground;Vanadium;Vanadium;#7f7f7f;8.608967605136682;AT;c9c4b80a-73dd-415a-92fb-f877595651c1;7440-62-2;kg Cu eq/kg
Raw;in ground;Zinc;Zinc;#8c564b;0.5103813332789052;AT;be73218b-18af-492e-96e6-addd309d1e32;7440-66-6;kg Cu eq/kg
Raw;in ground;Zirconia, as baddeleyite;Zirconium;#cccccc;0.977927582489392;AT;e07b4402-abe3-4346-8c42-051c5983bd1e;12036-23-6;kg Cu eq/kg
Raw;in ground;Zirconium;Zirconium;#c49c94;0.977927582489392;AT;cd2932c5-a486-4bf1-99b8-815d8a7ce11a;7440-67-7;kg Cu eq/kg
Raw;in ground;;;;1.142505601534453;BE;;;kg Cu eq/kg
